subject,predicate,object,inferred,chunk,confidence
revolution,originates in,britain,False,1,1.0
revolution,characterized by,Manufacturing Technologies,False,1,1.0
james watt,refines steam engine,,False,1,1.0
Manufacturing Technologies,powers locomotives,,False,1,1.0
Manufacturing Technologies,revolutionize transport,,False,1,1.0
Transportation Technologies,link continents,,False,1,1.0
manchester,is epicenter of,Manufacturing and Industries,False,2,1.0
pittsburgh,is epicenter of,migration,False,1,1.0
lowell,is epicenter of,Manufacturing and Industries,False,2,1.0
james hargreaves,invents spinning jenny,,False,1,1.0
richard arkwright,develops water frame,,False,1,1.0
birmingham,is epicenter of,Manufacturing and Industries,False,2,1.0
pittsburgh,is epicenter of,Manufacturing and Industries,False,2,1.0
Agriculture,develops,Manufacturing Technologies,False,2,1.0
eli whitney,invented cotton gin,,False,2,1.0
cyrus mccormick,invented mechanical reaper,,False,2,1.0
adam smith,wrote The Wealth,,False,2,1.0
robert owen,promoted worker conditions,,False,2,1.0
new lanark,founded by Robert,,False,2,1.0
britain,passed Factory Acts,,False,2,1.0
Labor Movements and Workers' Rights,limited by Factory,,False,2,1.0
workplace safety,regulated by Factory,,False,2,1.0
revolution,occurs between,Industrial Revolution,False,3,1.0
Electronics and Computing,built upon,Innovation and Breakthroughs,False,3,1.0
steel,revolutionized,Manufacturing and Industries,False,3,1.0
Communication Technologies,revolutionized,Globalization and International Relations,False,3,1.0
Communication Technologies,invented by,alexander graham bell,False,3,1.0
Communication Technologies,invented by,guglielmo marconi,False,3,1.0
bessemer process,revolutionized,Manufacturing and Industries,False,3,1.0
thomas edison,spearheaded,electricity,False,3,1.0
tesla,spearheaded,electricity,False,3,1.0
Labor Movements and Workers' Rights,emerged through,Philosophers and Activists,False,3,1.0
Labor Movements and Workers' Rights,responds to,conditions,False,4,1.0
karl marx,influences,political systems,False,4,1.0
friedrich engels,co-influences,political systems,False,4,1.0
the communist manifesto,profoundly impacts,political systems,False,4,1.0
Globalization and International Relations,follows,era,False,4,1.0
revolution,characterizes,era,False,4,1.0
Electronics and Computing,transforms,development,False,4,1.0
Electronics and Computing,transforms,Manufacturing and Industries,False,4,1.0
transistor,invents,research,False,4,1.0
bell labs,hosts,research,False,4,1.0
steve jobs,popularizes,Electronics and Computing,False,4,1.0
steve wozniak,co-popularizes,Electronics and Computing,False,4,1.0
bill gates,co-popularizes,Electronics and Computing,False,4,1.0
Communication Technologies,creates,agencies,False,4,1.0
darpa,develops,Communication Technologies,False,4,1.0
bill gates,democratizes access,information technology,False,5,1.0
Communication Technologies,enables communication,Globalization and International Relations,False,5,1.0
information age,ushers in,,False,5,1.0
toyota,pioneers robotic assembly,lines,False,5,1.0
Manufacturing and Industries,altered significantly,,False,5,1.0
Globalization and International Relations,reshaped economically,,False,5,1.0
revolution,matured,,False,5,1.0
Communication Technologies,enabled by,technologies,False,5,1.0
motorola,develops cellular,technologies,False,5,1.0
nokia,develops cellular,technologies,False,5,1.0
apple,develops cellular,technologies,False,5,1.0
samsung,develops cellular,technologies,False,5,1.0
E-commerce and Retail,transformed retail,,False,5,1.0
amazon,spearheads e-commerce,,False,5,1.0
alibaba,spearheads e-commerce,,False,5,1.0
E-commerce and Retail,reshaped logistically,,False,5,1.0
logistics,reshaped consumerly,,False,5,1.0
behavior,reshaped globally,,False,5,1.0
amazon,transforms retail,behavior,False,6,1.0
alibaba,transforms retail,behavior,False,6,1.0
humanity,experiences revolution,Industrial Revolution,False,6,1.0
Electronics and Computing,is technology,,False,6,1.0
robotics,is technology,,False,6,1.0
Biotechnology and Pharmaceuticals,is technology,,False,6,1.0
blockchain,is technology,,False,6,1.0
Communication Technologies,is technology,,False,6,1.0
openai,develops AI,,False,6,1.0
google,develops AI,,False,6,1.0
microsoft,develops AI,,False,6,1.0
ibm,develops AI,,False,6,1.0
natural language processing,is capability,,False,6,1.0
predictive analytics,is capability,,False,6,1.0
autonomous,uses AI,,False,6,1.0
chatgpt,is assistant,,False,6,1.0
tesla,championed vehicles,autonomous,False,6,1.0
waymo,championed vehicles,autonomous,False,6,1.0
cruise,championed vehicles,autonomous,False,6,1.0
bitcoin,is cryptocurrency,,False,6,1.0
ethereum,is cryptocurrency,,False,6,1.0
transistor,reshapes,urban planning,False,7,1.0
blockchain,challenges,financial institutions,False,7,1.0
Biotechnology and Pharmaceuticals,introduces,disease treatments,False,7,1.0
Electronics and Computing,promises,computational power,False,7,1.0
Industrial Revolution,unfolds,economic inequality,False,7,1.0
Globalization and International Relations,shaped debates,technological progress,False,7,1.0
ibm,develops,Electronics and Computing,False,7,1.0
google,develops,Electronics and Computing,False,7,1.0
mit,develops,quantum computing,False,7,1.0
cryptography,revolutionizes,materials science,False,7,1.0
Electronics and Computing,has implications,privacy,False,8,1.0
Electronics and Computing,relates to,Biotechnology and Pharmaceuticals,False,8,1.0
Globalization and International Relations,engages with,Electronics and Computing,False,8,1.0
united nations,engages with,Electronics and Computing,False,8,1.0
governments globally,engages with,Electronics and Computing,False,8,1.0
industrial revolution,has transformed,society,False,8,1.0
Globalization and International Relations,has reshaped,cultural norms,False,8,1.0
human interactions,with technology,environment,False,8,1.0
